data,model_type,feature,mean_importance,std_importance
all05,XGBR,b5_dbifm_dry_p50,0.0017721760151120842,0.0015473014124781402
all05,XGBR,dbifmdry_GNDVI_p50,0.002007513388615539,0.0018196322910991858
all05,XGBR,dbifman_r54_p50,0.002403486315757135,8.730022372634522e-05
all05,XGBR,dbifmdry_NDVI_p50,0.002514737827226541,0.00012606833697051287
all05,XGBR,b1_dbifm_p50,0.0028753268187070207,0.001402198480034678
all05,XGBR,b1_h99_p50,0.003024366258946634,0.0007545329982260222
all05,XGBR,dbifmdry_r64_p50,0.0033079739801099854,0.0001658346941375317
all05,XGBR,dbifman_r52_p50,0.0033119700190671463,0.0035316300350223435
all05,XGBR,b3_dbifm_p50,0.004743976260034019,0.0036191406542111807
all05,XGBR,b2_dbifm_dry_p50,0.005166745218573298,0.005883942742147097
all05,XGBR,dbifmdry_MSR_p50,0.0052347864907269686,0.0023783761460439657
all05,XGBR,dbifman_NDII_p50,0.00534716249639445,0.006689713492039653
all05,XGBR,dbifmdry_r54_p50,0.005661871031749884,0.0003021705346927173
all05,XGBR,dbifman_MSR_p50,0.00599417876453901,0.007771228260514188
all05,XGBR,b6_dbifm_dry_p50,0.006444318101157251,0.0033213688397687046
all05,XGBR,b6_dbifm_p50,0.007400563506978646,0.006868102157676304
all05,XGBR,b2_dbifm_p50,0.02829528966524811,0.03354344323846936
all05,XGBR,dbifman_NBR_p50,0.03228754171481498,0.03729475332173122
all05,XGBR,dbifman_r64_p50,0.03307810139891111,0.001683202517527974
all05,XGBR,dbifman_r43_p50,0.10719185924259787,0.026352520988076403
