data,model_type,feature,feature_name,mean_importance,std_importance,featre_name2
all05,GBR,b1_ccw_dry_p50,CPC(a),0.005510994,0.00293106,CPC(a)
all05,GBR,dbifman_r43_p50,NIR/Red(a),0.005700447,0.003086123,NIR/Red(a)
all05,GBR,b6_dbifm_dry_p50,SWIR2(d),0.006239284,0.004504234,SWIR2(d)
all05,GBR,dbifmdry_GNDVI_p50,GNDVI(d),0.007154395,0.005179587,GNDVI(d)
all05,GBR,dbifman_MSAVI_p50,MSAVI(a),0.007177315,0.006264805,MSAVI(a)
all05,GBR,dbifmdry_MSR_p50,MSR(d),0.007480806,0.004127015,MSR(d)
all05,GBR,b1_dbifm_p50,Blue(a),0.00759166,0.003105037,Blue(a)
all05,GBR,rx_wsum_p50,RH Total(w),0.007667843,0.005820093,RH Total(w)
all05,GBR,dbifmdry_NDVI_p50,NDVI(d),0.007883397,0.004589703,NDVI(d)
all05,GBR,b2_dbifm_dry_p50,Green(d),0.008077855,0.006755724,Green(d)
all05,GBR,b6_dbifm_p50,SWIR(a),0.00814652,0.006863146,SWIR(a)
all05,GBR,dbifman_r64_p50,SWIR2/NIR(a),0.008189569,0.00608961,SWIR2/NIR(a)
all05,GBR,b2_dp1fm_dry_p50,PV FC(d),0.008238934,0.005787765,PV FC(d)
all05,GBR,dbifmdry_SAVI_p50,SAVI(d),0.009447356,0.001474729,SAVI(d)
all05,GBR,dbifman_MSR_p50,MSR(a),0.011044062,0.004720915,MSR(a)
all05,GBR,dbifmdry_r43_p50,NIR/Red(d),0.011241231,0.007192959,NIR/Red(d)
all05,GBR,dbifman_r54_p50,SWIR1/NIR(a),0.012774158,0.009624507,SWIR1/NIR(a)
all05,GBR,dbifman_NDII_p50,NDII(a),0.01376713,0.006624323,NDII(a)
all05,GBR,dbifman_NBR_p50,NBR(a),0.017545503,0.010413241,NBR(a)
all05,GBR,b2_dbifm_p50,Green(a),0.02157624,0.023242471,Green(a)
